GENE,gene_name,gene,Phenotype,ALL_zscore,ALL_effect_size,ALL_P,ALL_var_g,ALL_pred_perf_r2,ALL_pred_perf_pval,ALL_n_snps_used,ALL_n_snps_in_cov,ALL_n_snps_in_model,CAU_zscore,CAU_effect_size,CAU_P,CAU_var_g,CAU_pred_perf_r2,CAU_pred_perf_pval,CAU_n_snps_used,CAU_n_snps_in_cov,CAU_n_snps_in_model,INTERVAL_zscore,INTERVAL_effect_size,INTERVAL_P,INTERVAL_var_g,INTERVAL_pred_perf_r2
SL000003_ENSG00000214274,SL000003,NA,breast_erneg,-0.284266084537825,-0.00555382475477968,0.776206475087561,0.244622580794782,0.326411490895927,3.11772334679812e-91,52,52,52,0.0256215829348129,0.00146610901080589,0.979559171027324,0.284153975091945,0.427419215454723,5.48334317601759e-56,40,40,40,NA,NA,NA,NA,NA
SL000006_ENSG00000106366,SL000006,NA,breast_erneg,-0.500991909253372,-0.0100414799601874,0.616376817022729,0.0110688169781452,0.0168080995446419,5.04608340613224e-05,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL000011_ENSG00000081051,SL000011,NA,breast_erneg,-1.56283212776921,-0.156124272179255,0.118092085257674,0.00751984755561744,0.0158385386388553,8.89516789801252e-05,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL000017_ENSG00000110799,SL000017,NA,breast_erneg,-0.507609682536106,-0.0400280040580357,0.611727098934761,0.00703476436859864,0.0125257512388598,0.000503405677865468,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL000045_ENSG00000146674,SL000045,IGFBP3.2571.12.3,breast_erneg,-0.556756469408764,-0.0239182192501065,0.577693829190157,0.0419791759792664,0.0586602970686475,1.53636733818153e-14,40,41,41,-0.686329801586505,-0.0242366743067277,0.492505160262662,0.0462077756733179,0.059875906279993,4.62909822022217e-07,41,41,41,0.459539831592087,0.0233026525962118,0.645846555397712,0.0243067507595995,0.0289982942691793
SL000049_ENSG00000184500,SL000049,NA,breast_erneg,1.49677806780159,0.079809652255576,0.134451014918368,0.0166381014818096,0.0136408528670456,0.000283125003647413,19,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL000051_ENSG00000132693,SL000051,CRP.4337.49.2,breast_erneg,0.158253711313033,0.0116059000824144,0.874256881441423,0.0070990610622698,0.0109700306841288,0.00113241360540298,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.968661800477907,0.0672182295088295,0.332713957688096,0.0155435352240694,0.0165516612860975
SL000084_ENSG00000138798,SL000084,EGF.5509.7.3,breast_erneg,-0.814118391286058,-0.0361786133612884,0.415577130934583,0.0345266907927401,0.0334244086053272,9.87031552729604e-09,33,35,35,-0.0472039788012784,-0.00176575461552177,0.962350656434135,0.0334614847161764,0.0524600974582528,2.88337011392945e-06,23,23,23,-1.23104677204941,-0.066816825894013,0.218305371556372,0.0237590963382891,0.0299996774112889
SL000137_ENSG00000174808,SL000137,NA,breast_erneg,0.961084809392259,0.046402940994716,0.336509526944965,0.0433857129755511,0.0331123828011804,1.05637084931186e-08,46,48,48,-0.317988657737401,-0.0115737710383533,0.750493540539721,0.042634154078688,0.0559298940999427,1.14554495904017e-06,36,37,37,NA,NA,NA,NA,NA
SL000145_ENSG00000115590,SL000145,IL1R2.14133.93.3,breast_erneg,-0.476270833213417,-0.0160811350474256,0.633881441742421,0.114555035106097,0.144361070381022,1.59282562753527e-35,38,38,38,-0.00269357151262741,-1.57399453636191e-05,0.997850843475462,0.0633867275778374,0.110898862088617,3.4530480783147e-12,17,17,17,-0.443090469606966,-0.0140516947840606,0.657700298346089,0.0664228864884317,0.0827796314498563
SL000158_ENSG00000086205,SL000158,NA,breast_erneg,0.255052911930376,0.0222738415949514,0.798682232421282,0.00534202530772593,0.0154158811046863,0.000106976061999458,5,5,5,0.108339196610706,0.0108937757867844,0.913726631182646,0.0170822593663478,0.0199916446563545,0.00405251045290938,26,26,26,NA,NA,NA,NA,NA
SL000248_ENSG00000196136,SL000248,NA,breast_erneg,-0.0638198967846776,0.000442227033013201,0.949113635210309,0.0669751182912225,0.0488982436844814,3.44025505561937e-12,85,86,86,0.683193834226916,0.0389254233649976,0.494484368234069,0.0167126631885137,0.0504535080393907,4.55491153355665e-06,11,11,11,NA,NA,NA,NA,NA
SL000250_ENSG00000167711,SL000250,SERPINF2.3024.18.2,breast_erneg,-0.665912358364177,-0.0541350091487653,0.505467120807234,0.0101809127089577,0.0293383089848698,7.08693956707359e-08,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.201369481824404,-0.0249168383288661,0.84040967639778,0.0125315641791584,0.0107741936378771
SL000251_ENSG00000145192,SL000251,AHSG.3581.53.3,breast_erneg,-0.190223456468647,-0.0039648776108227,0.849134031091537,0.197862733525083,0.216001789311257,5.81911838431188e-55,69,72,72,-0.559093987206305,-0.012962302174283,0.57609757810778,0.122465257137639,0.231172262925319,2.21108725755966e-26,7,7,7,-0.384756278153859,-0.00814122169451869,0.700417994945761,0.147458291854463,0.181815402805024
SL000268_ENSG00000122194,SL000268,PLG.3710.49.2,breast_erneg,0.449614486707772,0.0341678961756276,0.652988440554583,0.0133640396937123,0.0143729627445749,0.000189465147191907,22,22,22,-0.375678526984467,-0.00995556288139443,0.707155903457442,0.0828046848474307,0.0411865639885201,3.57907639497174e-05,63,66,66,-0.701690622346433,-0.0274155397529544,0.482872122487046,0.0445123481278554,0.104773017202468
SL000271_ENSG00000135744,SL000271,NA,breast_erneg,-1.17967234372592,-0.05279381813424,0.238130557601432,0.0275400284225384,0.0209641602391439,5.82452383681395e-06,41,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL000280_ENSG00000120053,SL000280,NA,breast_erneg,1.36380425456866,0.192804200909308,0.172629180903123,0.00515577169606505,0.0186643445432381,2.09422569568066e-05,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL000308_ENSG00000149131,SL000308,SERPING1.4479.14.2,breast_erneg,0.840102563435818,0.0138954496978173,0.400850882949196,0.200784520824626,0.251301133201497,2.39755707594904e-65,31,32,32,0.96947689299775,0.016271571409758,0.332307303739611,0.227012933015114,0.317773355220514,2.1901209538298e-38,20,23,23,0.993174542531162,0.0227551171567582,0.320624902211692,0.119339164594427,0.151813061730517
SL000316_ENSG00000224389,SL000316,NA,breast_erneg,0.381950015936837,0.0093215682234196,0.70249844028412,0.148792920477762,0.174363156044591,1.27871201706577e-43,84,92,92,-0.0227820257445486,-0.00122772523380731,0.981824145682306,0.17308751958082,0.170822012931183,9.30931703976799e-19,89,93,93,NA,NA,NA,NA,NA
SL000316_ENSG00000244731,SL000316,NA,breast_erneg,0.232475279078596,0.00532328080297873,0.81616888573702,0.167592275549539,0.199944940491208,6.53338741318318e-51,92,103,103,0.028832994293014,-0.000473109814119372,0.976997786172091,0.19858061510768,0.1548113803094,5.74947591038949e-17,111,116,116,NA,NA,NA,NA,NA
SL000318_ENSG00000224389,SL000318,NA,breast_erneg,-0.470570365942298,-0.0134195900454951,0.637947573883294,0.117185424733148,0.0583055004316284,1.98641102726794e-14,144,163,163,-0.941064556789959,-0.0264843578300815,0.34667177738822,0.083885355900112,0.0927524687783729,2.35434277576174e-10,51,54,54,NA,NA,NA,NA,NA
SL000318_ENSG00000244731,SL000318,NA,breast_erneg,-0.666463138400416,-0.0263004120093159,0.505115117312613,0.0610634087170729,0.0568947463143791,4.48454284351589e-14,77,80,80,-0.906360105906579,-0.0258193255107375,0.364745281278904,0.083978093434408,0.0805625282852535,3.15828627421843e-09,53,56,56,NA,NA,NA,NA,NA
SL000322_ENSG00000039537,SL000322,NA,breast_erneg,-0.0878062594555921,0.00208525810748835,0.930030662657994,0.0210196097424804,0.0163061210345668,6.89144281291129e-05,37,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
